USING           -> using
ID              -> System
SEMICOLON       -> ;
PUBLIC          -> public
CLASS           -> class
ID              -> Producto
LBRACE          -> {
STRING          -> string
ID              -> nombre
ASSIGN          -> =
STRING_LITERAL  -> Mouse inalámbrico
SEMICOLON       -> ;
FLOAT           -> float
ID              -> precio
ASSIGN          -> =
NUMBER          -> 19.99
ID              -> f
SEMICOLON       -> ;
INT             -> int
ID              -> stock
ASSIGN          -> =
NUMBER          -> 12
SEMICOLON       -> ;
PUBLIC          -> public
VOID            -> void
ID              -> MostrarInfo
LPAREN          -> (
RPAREN          -> )
LBRACE          -> {
ID              -> Console
DOT             -> .
ID              -> WriteLine
LPAREN          -> (
STRING_LITERAL  -> Producto: 
PLUS            -> +
ID              -> nombre
RPAREN          -> )
SEMICOLON       -> ;
ID              -> Console
DOT             -> .
ID              -> WriteLine
LPAREN          -> (
STRING_LITERAL  -> Precio: $
PLUS            -> +
ID              -> precio
RPAREN          -> )
SEMICOLON       -> ;
ID              -> Console
DOT             -> .
ID              -> WriteLine
LPAREN          -> (
STRING_LITERAL  -> Stock disponible: 
PLUS            -> +
ID              -> stock
RPAREN          -> )
SEMICOLON       -> ;
IF              -> if
LPAREN          -> (
ID              -> stock
GT              -> >
NUMBER          -> 0
RPAREN          -> )
LBRACE          -> {
ID              -> Console
DOT             -> .
ID              -> WriteLine
LPAREN          -> (
STRING_LITERAL  -> Producto en inventario.
RPAREN          -> )
SEMICOLON       -> ;
RBRACE          -> }
ELSE            -> else
LBRACE          -> {
ID              -> Console
DOT             -> .
ID              -> WriteLine
LPAREN          -> (
STRING_LITERAL  -> Producto agotado.
RPAREN          -> )
SEMICOLON       -> ;
RBRACE          -> }
IF              -> if
LPAREN          -> (
ID              -> precio
GE              -> >=
NUMBER          -> 15
RPAREN          -> )
LBRACE          -> {
ID              -> Console
DOT             -> .
ID              -> WriteLine
LPAREN          -> (
STRING_LITERAL  -> Precio válido para la venta.
RPAREN          -> )
SEMICOLON       -> ;
RBRACE          -> }
ELSE            -> else
LBRACE          -> {
ID              -> Console
DOT             -> .
ID              -> WriteLine
LPAREN          -> (
STRING_LITERAL  -> Precio demasiado bajo, revisar margen de ganancia.
RPAREN          -> )
SEMICOLON       -> ;
RBRACE          -> }
RBRACE          -> }
PUBLIC          -> public
BOOL            -> bool
ID              -> DisponibleParaVenta
LPAREN          -> (
RPAREN          -> )
LBRACE          -> {
IF              -> if
LPAREN          -> (
ID              -> stock
GT              -> >
NUMBER          -> 0
AND             -> &&
ID              -> precio
GE              -> >=
NUMBER          -> 15
RPAREN          -> )
LBRACE          -> {
RETURN          -> return
TRUE            -> true
SEMICOLON       -> ;
RBRACE          -> }
RETURN          -> return
FALSE           -> false
SEMICOLON       -> ;
RBRACE          -> }
PUBLIC          -> public
STATIC          -> static
VOID            -> void
ID              -> Main
LPAREN          -> (
STRING          -> string
LBRACKET        -> [
RBRACKET        -> ]
ID              -> args
RPAREN          -> )
LBRACE          -> {
ID              -> Producto
ID              -> p
ASSIGN          -> =
NEW             -> new
ID              -> Producto
LPAREN          -> (
RPAREN          -> )
SEMICOLON       -> ;
ID              -> p
DOT             -> .
ID              -> MostrarInfo
LPAREN          -> (
RPAREN          -> )
SEMICOLON       -> ;
BOOL            -> bool
ID              -> puedeVenderse
ASSIGN          -> =
ID              -> p
DOT             -> .
ID              -> DisponibleParaVenta
LPAREN          -> (
RPAREN          -> )
SEMICOLON       -> ;
ID              -> Console
DOT             -> .
ID              -> WriteLine
LPAREN          -> (
STRING_LITERAL  -> ¿Disponible para la venta?: 
PLUS            -> +
ID              -> puedeVenderse
RPAREN          -> )
SEMICOLON       -> ;
RBRACE          -> }
RBRACE          -> }
