USING           -> using
IDENTIFICADOR   -> System
PUNTO_COMA      -> ;
PUBLIC          -> public
CLASS           -> class
NOMBRE_CLASE    -> Producto
LLAVE_IZQ       -> {
STRING          -> string
IDENTIFICADOR   -> nombre
ASIGNACION      -> =
VALOR_STRING    -> Mouse inalámbrico
PUNTO_COMA      -> ;
FLOAT           -> float
IDENTIFICADOR   -> precio
ASIGNACION      -> =
VALOR_FLOTANTE  -> 19.99
PUNTO_COMA      -> ;
INT             -> int
IDENTIFICADOR   -> stock
ASIGNACION      -> =
VALOR_ENTERO    -> 12
PUNTO_COMA      -> ;
PUBLIC          -> public
VOID            -> void
IDENTIFICADOR   -> MostrarInfo
PARENTESIS_IZQ  -> (
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
CONSOLE         -> Console
PUNTO           -> .
WRITELINE       -> WriteLine
PARENTESIS_IZQ  -> (
VALOR_STRING    -> Producto: 
MAS             -> +
IDENTIFICADOR   -> nombre
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
CONSOLE         -> Console
PUNTO           -> .
WRITELINE       -> WriteLine
PARENTESIS_IZQ  -> (
VALOR_STRING    -> Precio: $
MAS             -> +
IDENTIFICADOR   -> precio
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
CONSOLE         -> Console
PUNTO           -> .
WRITELINE       -> WriteLine
PARENTESIS_IZQ  -> (
VALOR_STRING    -> Stock disponible: 
MAS             -> +
IDENTIFICADOR   -> stock
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
IF              -> if
PARENTESIS_IZQ  -> (
IDENTIFICADOR   -> stock
MAYOR           -> >
VALOR_ENTERO    -> 0
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
CONSOLE         -> Console
PUNTO           -> .
WRITELINE       -> WriteLine
PARENTESIS_IZQ  -> (
VALOR_STRING    -> Producto en inventario.
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
LLAVE_DER       -> }
ELSE            -> else
LLAVE_IZQ       -> {
CONSOLE         -> Console
PUNTO           -> .
WRITELINE       -> WriteLine
PARENTESIS_IZQ  -> (
VALOR_STRING    -> Producto agotado.
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
LLAVE_DER       -> }
IF              -> if
PARENTESIS_IZQ  -> (
IDENTIFICADOR   -> precio
MAYOR_IGUAL     -> >=
VALOR_ENTERO    -> 15
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
CONSOLE         -> Console
PUNTO           -> .
WRITELINE       -> WriteLine
PARENTESIS_IZQ  -> (
VALOR_STRING    -> Precio válido para la venta.
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
LLAVE_DER       -> }
ELSE            -> else
LLAVE_IZQ       -> {
CONSOLE         -> Console
PUNTO           -> .
WRITELINE       -> WriteLine
PARENTESIS_IZQ  -> (
VALOR_STRING    -> Precio demasiado bajo, revisar margen de ganancia.
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
LLAVE_DER       -> }
LLAVE_DER       -> }
PUBLIC          -> public
BOOL            -> bool
IDENTIFICADOR   -> DisponibleParaVenta
PARENTESIS_IZQ  -> (
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
IF              -> if
PARENTESIS_IZQ  -> (
IDENTIFICADOR   -> stock
MAYOR           -> >
VALOR_ENTERO    -> 0
CONJUNCION      -> &&
IDENTIFICADOR   -> precio
MAYOR_IGUAL     -> >=
VALOR_ENTERO    -> 15
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
RETURN          -> return
VALOR_BOOLEANO  -> true
PUNTO_COMA      -> ;
LLAVE_DER       -> }
RETURN          -> return
VALOR_BOOLEANO  -> false
PUNTO_COMA      -> ;
LLAVE_DER       -> }
PUBLIC          -> public
ENUM            -> enum
IDENTIFICADOR   -> Categoria
LLAVE_IZQ       -> {
IDENTIFICADOR   -> Electronica
COMA            -> ,
IDENTIFICADOR   -> Oficina
COMA            -> ,
IDENTIFICADOR   -> Hogar
LLAVE_DER       -> }
PUBLIC          -> public
STRUCT          -> struct
IDENTIFICADOR   -> Garantia
LLAVE_IZQ       -> {
PUBLIC          -> public
INT             -> int
IDENTIFICADOR   -> anios
PUNTO_COMA      -> ;
PUBLIC          -> public
BOOL            -> bool
IDENTIFICADOR   -> incluyeDanios
PUNTO_COMA      -> ;
LLAVE_DER       -> }
LLAVE_DER       -> }
PUBLIC          -> public
CLASS           -> class
NOMBRE_CLASE    -> Inventario
LLAVE_IZQ       -> {
PUBLIC          -> public
VOID            -> void
IDENTIFICADOR   -> ClasificarProducto
PARENTESIS_IZQ  -> (
INT             -> int
IDENTIFICADOR   -> codigo
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
SWITCH          -> switch
PARENTESIS_IZQ  -> (
IDENTIFICADOR   -> codigo
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
CASE            -> case
VALOR_ENTERO    -> 100
DOS_PUNTOS      -> :
CONSOLE         -> Console
PUNTO           -> .
WRITELINE       -> WriteLine
PARENTESIS_IZQ  -> (
VALOR_STRING    -> Producto clasificado como: Electrónica
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
BREAK           -> break
PUNTO_COMA      -> ;
CASE            -> case
VALOR_ENTERO    -> 200
DOS_PUNTOS      -> :
CONSOLE         -> Console
PUNTO           -> .
WRITELINE       -> WriteLine
PARENTESIS_IZQ  -> (
VALOR_STRING    -> Producto clasificado como: Oficina
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
BREAK           -> break
PUNTO_COMA      -> ;
CASE            -> case
VALOR_ENTERO    -> 300
DOS_PUNTOS      -> :
CONSOLE         -> Console
PUNTO           -> .
WRITELINE       -> WriteLine
PARENTESIS_IZQ  -> (
VALOR_STRING    -> Producto clasificado como: Hogar
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
BREAK           -> break
PUNTO_COMA      -> ;
DEFAULT         -> default
DOS_PUNTOS      -> :
CONSOLE         -> Console
PUNTO           -> .
WRITELINE       -> WriteLine
PARENTESIS_IZQ  -> (
