USING           -> using
IDENTIFICADOR   -> System
PUNTO_COMA      -> ;
PUBLIC          -> public
CLASS           -> class
NOMBRE_CLASE    -> Estudiante
LLAVE_IZQ       -> {
STRING          -> string
IDENTIFICADOR   -> nombre
ASIGNACION      -> =
STRING_LITERAL  -> Lucía
PUNTO_COMA      -> ;
FLOAT           -> float
IDENTIFICADOR   -> nota
ASIGNACION      -> =
NUMERO          -> 8.5
PUNTO_COMA      -> ;
PUBLIC          -> public
VOID            -> void
IDENTIFICADOR   -> MostrarDatos
PARENTESIS_IZQ  -> (
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
IDENTIFICADOR   -> Console
PUNTO           -> .
IDENTIFICADOR   -> WriteLine
PARENTESIS_IZQ  -> (
STRING_LITERAL  -> Nombre: 
MAS             -> +
IDENTIFICADOR   -> nombre
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
IDENTIFICADOR   -> Console
PUNTO           -> .
IDENTIFICADOR   -> WriteLine
PARENTESIS_IZQ  -> (
STRING_LITERAL  -> Nota: 
MAS             -> +
IDENTIFICADOR   -> nota
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
IF              -> if
PARENTESIS_IZQ  -> (
IDENTIFICADOR   -> nota
MAYOR_IGUAL     -> >=
NUMERO          -> 6
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
IDENTIFICADOR   -> Console
PUNTO           -> .
IDENTIFICADOR   -> WriteLine
PARENTESIS_IZQ  -> (
STRING_LITERAL  -> Ha aprobado el curso.
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
LLAVE_DER       -> }
ELSE            -> else
LLAVE_IZQ       -> {
IDENTIFICADOR   -> Console
PUNTO           -> .
IDENTIFICADOR   -> WriteLine
PARENTESIS_IZQ  -> (
STRING_LITERAL  -> No ha aprobado el curso.
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
LLAVE_DER       -> }
LLAVE_DER       -> }
PUBLIC          -> public
BOOL            -> bool
IDENTIFICADOR   -> EstaAprobado
PARENTESIS_IZQ  -> (
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
RETURN          -> return
IDENTIFICADOR   -> nota
MAYOR_IGUAL     -> >=
NUMERO          -> 7
PUNTO_COMA      -> ;
LLAVE_DER       -> }
PUBLIC          -> public
STATIC          -> static
VOID            -> void
IDENTIFICADOR   -> Main
PARENTESIS_IZQ  -> (
STRING          -> string
CORCHETE_IZQ    -> [
CORCHETE_DER    -> ]
IDENTIFICADOR   -> args
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
IDENTIFICADOR   -> Estudiante
IDENTIFICADOR   -> estudiante
ASIGNACION      -> =
NEW             -> new
IDENTIFICADOR   -> Estudiante
PARENTESIS_IZQ  -> (
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
IDENTIFICADOR   -> estudiante
PUNTO           -> .
IDENTIFICADOR   -> MostrarDatos
PARENTESIS_IZQ  -> (
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
BOOL            -> bool
IDENTIFICADOR   -> aprobado
ASIGNACION      -> =
IDENTIFICADOR   -> estudiante
PUNTO           -> .
IDENTIFICADOR   -> EstaAprobado
PARENTESIS_IZQ  -> (
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
IDENTIFICADOR   -> Console
PUNTO           -> .
IDENTIFICADOR   -> WriteLine
PARENTESIS_IZQ  -> (
STRING_LITERAL  -> ¿Aprobado?: 
MAS             -> +
IDENTIFICADOR   -> aprobado
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
LLAVE_DER       -> }
LLAVE_DER       -> }
