PUBLIC          -> public
CLASS           -> class
ID              -> Prueba
LBRACE          -> {
INT             -> int
ID              -> edad
ASSIGN          -> =
NUMBER          -> 25
SEMICOLON       -> ;
STRING          -> string
ID              -> nombre
ASSIGN          -> =
STRING_LITERAL  -> Carlos
SEMICOLON       -> ;
IF              -> if
LPAREN          -> (
ID              -> edad
GE              -> >=
NUMBER          -> 18
RPAREN          -> )
LBRACE          -> {
RETURN          -> return
SEMICOLON       -> ;
RBRACE          -> }
RBRACE          -> }
