USING           -> using
IDENTIFICADOR   -> System
PUNTO_COMA      -> ;
PUBLIC          -> public
CLASS           -> class
NOMBRE_CLASE    -> Persona
LLAVE_IZQ       -> {
INT             -> int
IDENTIFICADOR   -> edad
ASIGNACION      -> =
VALOR_ENTERO    -> 25
PUNTO_COMA      -> ;
STRING          -> string
IDENTIFICADOR   -> nombre
ASIGNACION      -> =
VALOR_STRING    -> Carlos
PUNTO_COMA      -> ;
PUBLIC          -> public
VOID            -> void
IDENTIFICADOR   -> MostrarInformacion
PARENTESIS_IZQ  -> (
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
CONSOLE         -> Console
PUNTO           -> .
WRITELINE       -> WriteLine
PARENTESIS_IZQ  -> (
VALOR_STRING    -> Nombre: 
MAS             -> +
IDENTIFICADOR   -> nombre
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
CONSOLE         -> Console
PUNTO           -> .
WRITELINE       -> WriteLine
PARENTESIS_IZQ  -> (
VALOR_STRING    -> Edad: 
MAS             -> +
IDENTIFICADOR   -> edad
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
IF              -> if
PARENTESIS_IZQ  -> (
IDENTIFICADOR   -> edad
MAYOR_IGUAL     -> >=
VALOR_ENTERO    -> 18
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
CONSOLE         -> Console
PUNTO           -> .
WRITELINE       -> WriteLine
PARENTESIS_IZQ  -> (
VALOR_STRING    -> Es mayor de edad.
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
LLAVE_DER       -> }
ELSE            -> else
LLAVE_IZQ       -> {
CONSOLE         -> Console
PUNTO           -> .
WRITELINE       -> WriteLine
PARENTESIS_IZQ  -> (
VALOR_STRING    -> Es menor de edad.
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
LLAVE_DER       -> }
LLAVE_DER       -> }
PUBLIC          -> public
BOOL            -> bool
IDENTIFICADOR   -> EsMayorDeEdad
PARENTESIS_IZQ  -> (
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
IF              -> if
PARENTESIS_IZQ  -> (
IDENTIFICADOR   -> edad
MAYOR_IGUAL     -> >=
VALOR_ENTERO    -> 18
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
RETURN          -> return
VALOR_BOOLEANO  -> true
PUNTO_COMA      -> ;
LLAVE_DER       -> }
RETURN          -> return
VALOR_BOOLEANO  -> false
PUNTO_COMA      -> ;
LLAVE_DER       -> }
PUBLIC          -> public
STATIC          -> static
VOID            -> void
MAIN            -> Main
PARENTESIS_IZQ  -> (
STRING          -> string
CORCHETE_IZQ    -> [
CORCHETE_DER    -> ]
ARGS            -> args
PARENTESIS_DER  -> )
LLAVE_IZQ       -> {
IDENTIFICADOR   -> Persona
IDENTIFICADOR   -> p
ASIGNACION      -> =
NEW             -> new
IDENTIFICADOR   -> Persona
PARENTESIS_IZQ  -> (
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
IDENTIFICADOR   -> p
PUNTO           -> .
IDENTIFICADOR   -> MostrarInformacion
PARENTESIS_IZQ  -> (
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
BOOL            -> bool
IDENTIFICADOR   -> mayor
ASIGNACION      -> =
IDENTIFICADOR   -> p
PUNTO           -> .
IDENTIFICADOR   -> EsMayorDeEdad
PARENTESIS_IZQ  -> (
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
CONSOLE         -> Console
PUNTO           -> .
WRITELINE       -> WriteLine
PARENTESIS_IZQ  -> (
VALOR_STRING    -> ¿Mayor de edad?: 
MAS             -> +
IDENTIFICADOR   -> mayor
PARENTESIS_DER  -> )
PUNTO_COMA      -> ;
LLAVE_DER       -> }
LLAVE_DER       -> }
